YEAR,MONTH,IDADMIN1,IDADMIN2,ADMIN1,ADMIN2,CLIN,CONF_TOTAL,CONF_MIC,CONF_RDT,CONF_PCR,POS_0_11_MO_M,POS_0_11_MO_F,PO_1_4_YO_M,PO_1_4_YO_F,POS_5_9_YO_M,POS_5_9_YO_F,POS_10_14_YO_M,POS_10_14_YO_F,POS_15_64_YO_M,POS_15_64_YO_F,POS_OVER_64_M,POS_OVER_64_F,POS_0_4,POS_5_9,POS_10_14,POS_15_64,POS_OVER_64,POS_PREGNANT,POS_PF,POS_PV,POS_PM_PO,POS_MIX,POS_PK,POS_MALE,POS_FEMALE,POS_GENDER_TOTAL,POS_SPECIES_TOTAL
2010,1,94,9403,PAPUA,JAYAPURA,4244,0,2683,509,0,17,21,133,90,81,69,56,52,176,193,0,0,261,150,108,369,0,19,709,176,1,47,0,463,425,888,933
2010,1,94,9471,PAPUA,KOTA JAYAPURA,5164,0,5126,0,0,22,15,121,102,122,9,60,63,325,296,0,0,260,131,123,621,0,22,885,351,0,28,0,650,485,1135,1264
2010,1,94,9420,PAPUA,KEEROM,3228,0,2863,365,0,30,11,140,120,103,98,56,57,353,265,0,0,301,201,113,618,0,20,944,300,1,75,0,682,551,1233,1320
2010,1,94,9419,PAPUA,SARMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,94,9409,PAPUA,BIAK NUMFOR,2627,0,2149,50,0,36,35,152,147,69,91,36,36,132,336,0,0,370,160,72,468,0,7,85,1089,0,9,0,425,645,1070,1183
2010,1,94,9427,PAPUA,SUPIORI,1755,0,1576,11,0,5,2,18,11,12,8,8,11,34,29,0,0,36,20,19,63,0,1,56,96,2,2,0,77,61,138,156
2010,1,94,9401,PAPUA,MERAUKE,1210,0,884,200,0,12,9,36,33,25,24,13,8,38,43,0,0,90,49,21,81,0,1,3,257,0,0,0,124,117,241,260
2010,1,94,9414,PAPUA,MAPPI,660,0,169,21,0,3,2,9,11,15,22,11,6,13,7,0,0,25,37,17,20,0,2,67,50,0,0,0,51,48,99,117
2010,1,94,9413,PAPUA,BOVEN DIGOEL,974,0,484,30,0,15,3,38,38,21,17,9,10,125,81,0,0,94,38,19,206,0,31,201,155,0,8,0,208,149,357,364
2010,1,94,9404,PAPUA,NABIRE,1112,0,336,1,0,4,2,20,15,11,24,23,24,59,61,0,0,41,35,47,120,0,0,177,62,0,6,0,117,126,243,245
2010,1,94,9408,PAPUA,KEPULAUAN YAPEN,2640,0,1422,58,0,54,32,139,91,55,91,42,29,154,155,0,0,316,146,71,309,0,2,372,320,0,15,0,444,398,842,707
2010,1,94,9412,PAPUA,MIMIKA,2003,0,1493,37,0,32,24,110,117,75,70,33,38,143,86,0,0,283,145,71,229,0,6,730,99,90,35,0,393,335,728,954
2010,1,94,9410,PAPUA,PANIAI,9023,0,7384,585,0,71,67,274,268,267,233,174,141,1064,930,0,0,680,500,315,1994,0,91,2410,1574,0,330,0,1850,1639,3489,4314
2010,1,94,9415,PAPUA,ASMAT,351,0,0,0,0,0,0,10,8,11,14,22,27,111,125,0,0,18,25,49,236,0,0,139,164,0,41,0,154,174,328,344
2010,1,94,9426,PAPUA,WAROPEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
